Product_item_no,Product_mfr_no,Product_name,Product_packsize,Product_price,Product_url,Product_value,Product_wght
9050416,0.01,Permanent markers; edding 3000; 1.5mm to 3mm; Description edding 3000; Colour Orange,ea,"€ 3,55",https://www.reagecon.com/generallabaids/documenting/permanent-markers-edding-3000-1-5mm-to-3mm-9050416?returnurl=%2fgenerallabaids%2fdocumenting%2f,4-3000006,0.01
9050414,0.08,Permanent markers; edding 3000; 1.5mm to 3mm; Description edding 3000; Colour Green,ea,"€ 3,55",https://www.reagecon.com/generallabaids/documenting/permanent-markers-edding-3000-1-5mm-to-3mm-9050414?returnurl=%2fgenerallabaids%2fdocumenting%2f,4-3000004,0.08
9050412,0.01,Permanent markers; edding 3000; 1.5mm to 3mm; Description edding 3000; Colour Red,ea,"€ 3,55",https://www.reagecon.com/generallabaids/documenting/permanent-markers-edding-3000-1-5mm-to-3mm-9050412?returnurl=%2fgenerallabaids%2fdocumenting%2f,4-3000002,0.01
9050411,0.02,Permanent markers; edding 3000; 1.5mm to 3mm; Description edding 3000; Colour Black,ea,"€ 3,55",https://www.reagecon.com/generallabaids/documenting/permanent-markers-edding-3000-1-5mm-to-3mm-9050411?returnurl=%2fgenerallabaids%2fdocumenting%2f,4-3000001,0.02
6205732,0.01,CD/DVD/BD markers; edding 8400; 0.5mm to 1mm; Colour Red,ea,"€ 3,93",https://www.reagecon.com/generallabaids/documenting/cd-dvd-bd-markers-edding-8400-0-5mm-to-1mm-colour-6205732?returnurl=%2fgenerallabaids%2fdocumenting%2f,4-8400002,0.01
4003414,1.21,Syringe filter CHROMAFIL® Polyvinylidenfluoride (PVDF); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyvinylidenfluoride-4003414?returnurl=%2fchromatography%2fsamplepreparation%2f,729218.400,1.21
4003417,0.29,Syringe filter CHROMAFIL® Polyester (PET); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,100pk,"€ 81,01",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyester-pet-type-non-4003417?returnurl=%2fchromatography%2fsamplepreparation%2f,729221,0.29
4003418,1.21,Syringe filter CHROMAFIL® Polyester (PET); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyester-pet-type-non-4003418?returnurl=%2fchromatography%2fsamplepreparation%2f,729221.400,1.21
4003415,1.21,Syringe filter CHROMAFIL® Polyvinylidenfluoride (PVDF); Type non sterile; Filter diam. 25 mm; Pore size 0.45 µm; Housing PP-colourless/labelled,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyvinylidenfluoride-4003415?returnurl=%2fchromatography%2fsamplepreparation%2f,729219.400,1.21
4003416,1.21,Syringe filter CHROMAFIL® Polyester (PET); Type non sterile; Filter diam. 25 mm; Pore size 0.45 µm; Housing PP-colourless/labelled*,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyester-pet-type-non-4003416?returnurl=%2fchromatography%2fsamplepreparation%2f,729220.400,1.21
4003413,0.36,Syringe filter CHROMAFIL® Polyvinylidenfluoride (PVDF); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled,100pk,"€ 81,01",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyvinylidenfluoride-4003413?returnurl=%2fchromatography%2fsamplepreparation%2f,729218,0.36
4003412,1.21,Syringe filter CHROMAFIL® Polyamide (PA); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyamide-pa-type-non-4003412?returnurl=%2fchromatography%2fsamplepreparation%2f,729212.400,1.21
4003411,0.29,Syringe filter CHROMAFIL® Polyamide (PA); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,100pk,"€ 81,01",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyamide-pa-type-non-4003411?returnurl=%2fchromatography%2fsamplepreparation%2f,729212,0.29
4003410,1.22,Syringe filter CHROMAFIL® Polytetrafluoroethylene (PTFE); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polytetrafluoroethylene-4003410?returnurl=%2fchromatography%2fsamplepreparation%2f,729207.400,1.22
4003409,0.29,Syringe filter CHROMAFIL® Polytetrafluoroethylene (PTFE); Type non sterile; Filter diam. 25 mm; Pore size 0.20 µm; Housing PP-colourless/labelled*,100pk,"€ 81,01",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polytetrafluoroethylene-4003409?returnurl=%2fchromatography%2fsamplepreparation%2f,729207,0.29
4003405,0.36,Syringe filter CHROMAFIL® Cellulose mixed ester (MV); Type non sterile; Filter diam. 25 mm; Pore size 0.45 µm; Housing PP-colourless/labelled*,100pk,"€ 81,01",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-cellulose-mixed-ester-mv-4003405?returnurl=%2fchromatography%2fsamplepreparation%2f,729204,0.36
4003401,0.29,Syringe filter CHROMAFIL® Polyvinylidenfluoride (PVDF); Type non sterile; Filter diam. 25 mm; Pore size 1.0/0.45 µm; Housing PP-black/white,100pk,"€ 102,26",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyvinylidenfluoride-4003401?returnurl=%2fchromatography%2fsamplepreparation%2f,729039,0.29
4003402,1.25,Syringe filter CHROMAFIL® Polyvinylidenfluoride (PVDF); Type non sterile; Filter diam. 25 mm; Pore size 1.0/0.45 µm; Housing PP-black/white,400pk,"€ 409,02",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyvinylidenfluoride-4003402?returnurl=%2fchromatography%2fsamplepreparation%2f,729039.400,1.25
4003406,1.20,Syringe filter CHROMAFIL® Cellulose mixed ester (MV); Type non sterile; Filter diam. 25 mm; Pore size 0.45 µm; Housing PP-colourless/labelled*,400pk,"€ 324,03",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-cellulose-mixed-ester-mv-4003406?returnurl=%2fchromatography%2fsamplepreparation%2f,729204.400,1.20
4003400,1.35,Syringe filter CHROMAFIL® regenerated Cellulose (RC); Type non sterile; Filter diam. 15 mm; Pore size 0.45 µm; Housing PP-colourless/blue1),800pk,"€ 648,06",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-regenerated-cellulose-rc-4003400?returnurl=%2fchromatography%2fsamplepreparation%2f,729037.800,1.35
4003399,1.34,Syringe filter CHROMAFIL® regenerated Cellulose (RC); Type non sterile; Filter diam. 15 mm; Pore size 0.20 µm; Housing PP-yellow/blue1),800pk,"€ 648,06",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-regenerated-cellulose-rc-4003399?returnurl=%2fchromatography%2fsamplepreparation%2f,729036.800,1.34
4003397,1.33,Syringe filter CHROMAFIL® Polyester (PET); Type non sterile; Filter diam. 15 mm; Pore size 0.20 µm; Housing PP-yellow/orange1),800pk,"€ 648,06",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyester-pet-type-non-4003397?returnurl=%2fchromatography%2fsamplepreparation%2f,729022.800,1.33
4003398,1.33,Syringe filter CHROMAFIL® Polyester (PET); Type non sterile; Filter diam. 15 mm; Pore size 0.45 µm; Housing PP-colourless/orange1),800pk,"€ 648,06",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polyester-pet-type-non-4003398?returnurl=%2fchromatography%2fsamplepreparation%2f,729023.800,1.33
CHA505,Kg,Reagecon Chromic Acid 5%,500ml,"€ 105,03",https://www.reagecon.com/physicalchemical/generallab/reagecon-chromic-acid-5-cha505?returnurl=%2fphysicalchemical%2fgenerallab%2f,0.62,0.62
4003394,1.33,Syringe filter CHROMAFIL® Polytetrafluoroethylene (PTFE); Type non sterile; Filter diam. 15 mm; Pore size 0.20 µm; Housing PP-yellow/colourless1),800pk,"€ 648,06",https://www.reagecon.com/chromatography/samplepreparation/syringe-filter-chromafil-polytetrafluoroethylene-4003394?returnurl=%2fchromatography%2fsamplepreparation%2f,729008.800,1.33
CABS25,Kg,Reagecon Colour A Buffer Solution,2.5L,"€ 62,00",https://www.reagecon.com/physicalchemical/generallab/reagecon-colour-a-buffer-solution-cabs25?returnurl=%2fphysicalchemical%2fgenerallab%2f,3.34,3.34
CEIC1,Kg,Reagecon Sodium Bicarbonate 1M (NaHCO₃) / Sodium Carbonate 3.2M (Na₂CO₃) Eluent Concentrate,100ml,"€ 69,39",https://www.reagecon.com/physicalchemical/generallab/reagecon-sodium-bicarbonate-1m-nahco-sodium-ceic1?returnurl=%2fphysicalchemical%2fgenerallab%2f,0.12,0.12
BOAIG105,Kg,Reagecon Boric Acid 1% (w/v) with indicator (Bromocresol Green and Methyl Red),5l,"€ 91,86",https://www.reagecon.com/physicalchemical/generallab/reagecon-boric-acid-1-w-v-with-indicator-boaig105?returnurl=%2fphysicalchemical%2fgenerallab%2f,5.05,5.05
CA20WV25,25.40,Reagecon Citric Acid 20% Reagent,25L,"€ 556,12",https://www.reagecon.com/physicalchemical/generallab/reagecon-citric-acid-20-reagent-ca20wv25?returnurl=%2fphysicalchemical%2fgenerallab%2f,CA20WV25,25.40
CA20WVF,Kg,Reagecon  Citric Acid 20% Reagent,1L,"€ 76,46",https://www.reagecon.com/physicalchemical/generallab/reagecon-citric-acid-20-reagent-ca20wvf?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
BOAI225,Kg,Reagecon Kjeldahl Reagent Boric Acid 2% Solution with Indicator,25L,"€ 71,61",https://www.reagecon.com/physicalchemical/generallab/reagecon-kjeldahl-reagent-boric-acid-2-solution-boai225?returnurl=%2fphysicalchemical%2fgenerallab%2f,25.40,25.40
BOA4,Kg,Reagecon Boric Acid 4% w/v without Indicator Kjeldahl Reagent,5L,"€ 79,64",https://www.reagecon.com/physicalchemical/generallab/reagecon-boric-acid-4-w-v-without-indicator-boa4?returnurl=%2fphysicalchemical%2fgenerallab%2f,5.05,5.05
BOA25,Kg,Reagecon Kjeldahl Reagent Boric Acid 2% w/v Solution without Indicator,5L,"€ 82,90",https://www.reagecon.com/physicalchemical/generallab/reagecon-kjeldahl-reagent-boric-acid-2-w-v-boa25?returnurl=%2fphysicalchemical%2fgenerallab%2f,5.05,5.05
BACL25,Kg,Reagecon Barium Chloride 25% Solution,1L,"€ 85,58",https://www.reagecon.com/physicalchemical/generallab/reagecon-barium-chloride-25-solution-bacl25?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
AR2O3-CO,Kg,Reagecon Arsenic Trioxide 100 ppm Standard,1L,"€ 173,38",https://www.reagecon.com/physicalchemical/generallab/reagecon-arsenic-trioxide-100-ppm-standard-ar2o3--co?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
CAB05,Kg,Reagecon Combined Acid Buffer,500ml,"€ 42,80",https://www.reagecon.com/physicalchemical/generallab/reagecon-combined-acid-buffer-cab05?returnurl=%2fphysicalchemical%2fgenerallab%2f,0.62,0.62
AMBS05,Kg,Reagecon Ammonium Molybdate Solution,500ml,"€ 97,59",https://www.reagecon.com/physicalchemical/generallab/reagecon-ammonium-molybdate-solution-ambs05?returnurl=%2fphysicalchemical%2fgenerallab%2f,0.62,0.62
AGS601,Kg,Reagecon Silver Sulphate 6% w/v in Sulphuric Acid,1L,"€ 219,00",https://www.reagecon.com/physicalchemical/generallab/reagecon-silver-sulphate-6-w-v-in-sulphuric-acid-ags601?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
A05VV10,Kg,Reagecon Acetic Acid 5% v/v,10L,"€ 400,36",https://www.reagecon.com/physicalchemical/generallab/reagecon-acetic-acid-5-v-v-a05vv10?returnurl=%2fphysicalchemical%2fgenerallab%2f,10.10,10.10
ADFS5,Kg,Reagecon Acid Detergent Fibre Solution,5L,"€ 147,99",https://www.reagecon.com/physicalchemical/generallab/reagecon-acid-detergent-fibre-solution-adfs5?returnurl=%2fphysicalchemical%2fgenerallab%2f,5.05,5.05
AMBS01,Kg,Reagecon Ammonium Molybdate Solution,100ml,"€ 27,27",https://www.reagecon.com/physicalchemical/generallab/reagecon-ammonium-molybdate-solution-ambs01?returnurl=%2fphysicalchemical%2fgenerallab%2f,0.12,0.12
A110VV1,Kg,Reagecon Acetic Acid 10% v/v,1L,"€ 82,19",https://www.reagecon.com/physicalchemical/generallab/reagecon-acetic-acid-10-v-v-a110vv1?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
A05VV1,Kg,Reagecon Acetic Acid Solution 5% v/v,1L,"€ 22,78",https://www.reagecon.com/physicalchemical/generallab/reagecon-acetic-acid-solution-5-v-v-a05vv1?returnurl=%2fphysicalchemical%2fgenerallab%2f,1.16,1.16
100MMCL,0.18,Reagecon Chloride Standard 10 mmol/l,180ml,"€ 40,69",https://www.reagecon.com/physicalchemical/generallab/reagecon-chloride-standard-10-mmol-l-100mmcl?returnurl=%2fphysicalchemical%2fgenerallab%2f,100 mmol/l,0.18
4006207,0.27,Qualitative Filters for beer analysis; folded filters; Diam. 185 mm; Weight 75 g / m²,100pk,"€ 26,68",https://www.reagecon.com/filter-paper/qualitative/qualitative-filters-for-beer-analysis-folded-4006207?returnurl=%2ffilter-paper%2fqualitative%2f,DF2555185,0.27
4006206,0.44,Filter paper Type 2095; low on nitrogen; folded filters; Diam. 240 mm; Weight 85 g / m²,100pk,"€ 118,86",https://www.reagecon.com/filter-paper/qualitative/filter-paper-type-2095-low-on-nitrogen-folded-4006206?returnurl=%2ffilter-paper%2fqualitative%2f,DF2095240,0.44
4006192,0.46,Filter paper; qualitative; wet strength; folded filters; Type FP 1573; Diam. 240 mm; Weight 88 g / m²; Filtration time acc. to Herzberg 50 secs.; Thickness 0.17 mm,100pk,"€ 78,82",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-wet-strength-folded-4006192?returnurl=%2ffilter-paper%2fqualitative%2f,DF1573240,0.46
4006191,0.31,Filter paper; qualitative; wet strength; folded filters; Type FP 1573; Diam. 185 mm; Weight 88 g / m²; Filtration time acc. to Herzberg 50 secs.; Thickness 0.17 mm,100pk,"€ 50,50",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-wet-strength-folded-4006191?returnurl=%2ffilter-paper%2fqualitative%2f,DF1573185,0.31
4006187,0.70,Filter paper; universal; folded filters; Type FP 0860; Weight 74 g / m²; Diam. 320 mm; Filtration time acc. to Herzberg 120 secs.; Thickness 0.17 mm,100pk,"€ 63,36",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0860-4006187?returnurl=%2ffilter-paper%2fqualitative%2f,DF0860320,0.70
4006188,0.70,Filter paper; universal; folded filters; Type FP 0905; Weight 74 g / m²; Diam. 320 mm; Filtration time acc. to Herzberg 40 secs.; Thickness 0.27 mm,100pk,"€ 73,54",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0905-4006188?returnurl=%2ffilter-paper%2fqualitative%2f,DF0905320,0.70
4006189,0.16,Filter paper; qualitative; wet strength; folded filters; Type FP 1573; Diam. 125 mm; Weight 88 g / m²; Filtration time acc. to Herzberg 50 secs.; Thickness 0.17 mm,100pk,"€ 38,84",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-wet-strength-folded-4006189?returnurl=%2ffilter-paper%2fqualitative%2f,DF1573125,0.16
4006185,0.26,Filter paper; universal; folded filters; Type FP 0860; Weight 74 g / m²; Diam. 185 mm; Filtration time acc. to Herzberg 120 secs.; Thickness 0.17 mm,100pk,"€ 33,75",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0860-4006185?returnurl=%2ffilter-paper%2fqualitative%2f,DF0860185,0.26
4006186,0.42,Filter paper; universal; folded filters; Type FP 0860; Weight 74 g / m²; Diam. 240 mm; Filtration time acc. to Herzberg 120 secs.; Thickness 0.17 mm,100pk,"€ 41,43",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0860-4006186?returnurl=%2ffilter-paper%2fqualitative%2f,DF0860240,0.42
4006184,0.18,Filter paper; universal; folded filters; Type FP 0860; Weight 74 g / m²; Diam. 150 mm; Filtration time acc. to Herzberg 120 secs.; Thickness 0.17 mm,100pk,"€ 29,51",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0860-4006184?returnurl=%2ffilter-paper%2fqualitative%2f,DF0860150,0.18
4006182,0.73,Filter paper; universal; folded filters; Type FP 0858; Weight 75 g / m²; Diam. 320 mm; Filtration time acc. to Herzberg 110 secs.; Thickness 0.17 mm,100pk,"€ 58,96",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0858-4006182?returnurl=%2ffilter-paper%2fqualitative%2f,DF0858320,0.73
4006049,2.45,Filter paper; qualitative; wet-strength; sheets; Type FP 1574; Weight 90 g / m²; Width 460 mm; Length 570 mm; Filtration time acc. to Herzberg 170 secs.; Thickness 1.16 mm,100pk,"€ 95,65",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-wet-strength-sheets-type-4006049?returnurl=%2ffilter-paper%2fqualitative%2f,15744657,2.45
4006181,0.40,Filter paper; universal; folded filters; Type FP 0858; Weight 75 g / m²; Diam. 240 mm; Filtration time acc. to Herzberg 110 secs.; Thickness 0.17 mm,100pk,"€ 41,52",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0858-4006181?returnurl=%2ffilter-paper%2fqualitative%2f,DF0858240,0.40
4006179,0.18,Filter paper; universal; folded filters; Type FP 0858; Weight 75 g / m²; Diam. 150 mm; Filtration time acc. to Herzberg 110 secs.; Thickness 0.17 mm,100pk,"€ 26,24",https://www.reagecon.com/filter-paper/qualitative/filter-paper-universal-folded-filters-type-fp-0858-4006179?returnurl=%2ffilter-paper%2fqualitative%2f,DF0858150,0.18
4006044,3.77,Filter paper; qualitative; sheets; Type FP 598; Weight 139 g / m²; Width 460 mm; Length 570 mm; Filtration time acc. to Herzberg 100 secs.; Thickness 0.32 mm,100pk,"€ 176,01",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-sheets-type-fp-598-weight-4006044?returnurl=%2ffilter-paper%2fqualitative%2f,5984657,3.77
4006043,2.96,Filter paper; qualitative; sheets; Type FP 597; Weight 85 g / m²; Width 580 mm; Length 580 mm; Filtration time acc. to Herzberg 155 secs.; Thickness 0.18 mm,100pk,"€ 111,27",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-sheets-type-fp-597-weight-4006043?returnurl=%2ffilter-paper%2fqualitative%2f,5975858,2.96
4006041,2.39,Filter paper; qualitative; sheets; Type FP 595; Weight 68 g / m²; Width 580 mm; Length 580 mm; Filtration time acc. to Herzberg 160 secs.; Thickness 0.15 mm,100pk,"€ 114,54",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-sheets-type-fp-595-weight-4006041?returnurl=%2ffilter-paper%2fqualitative%2f,5955858,2.39
9023956,0.05,H separating chamber; Type Cover plate; Width 50 mm; Length 50 mm,ea,"€ 20,55",https://www.reagecon.com/thin-layer/chambers/h-separating-chamber-type-cover-plate-width-50-mm-9023956?returnurl=%2fthin-layer%2fchambers%2f,BS120.156,0.05
4006038,4.32,Filter paper; qualitative; sheets; Type FP 591; Weight 161 g / m²; Width 580 mm; Length 580 mm; Filtration time acc. to Herzberg 90 secs.; Thickness 0.35 mm,100pk,"€ 157,45",https://www.reagecon.com/filter-paper/qualitative/filter-paper-qualitative-sheets-type-fp-591-weight-4006038?returnurl=%2ffilter-paper%2fqualitative%2f,5915858,4.32
9023150,0.20,H separating chamber; Type H separation chamber; Width 50 mm; Length 50 mm,ea,"€ 190,77",https://www.reagecon.com/thin-layer/chambers/h-separating-chamber-type-h-separation-chamber-9023150?returnurl=%2fthin-layer%2fchambers%2f,BS120.150,0.20
9023955,0.01,H separating chamber; Type Frit rods; Width  mm; Length 50 mm,5pk,"€ 73,37",https://www.reagecon.com/thin-layer/chambers/h-separating-chamber-type-frit-rods-width-mm-9023955?returnurl=%2fthin-layer%2fchambers%2f,BS120.155,0.01
9023160,0.33,H separating chamber; Type H separation chamber; Width 100 mm; Length 100 mm,ea,"€ 440,23",https://www.reagecon.com/thin-layer/chambers/h-separating-chamber-type-h-separation-chamber-9023160?returnurl=%2fthin-layer%2fchambers%2f,BS120.151,0.33
9020213,0.09,Nano separating chambers; with knob/ stainless lid; Type Nano stainless steel lid; 100mm x 100mm,ea,"€ 39,62",https://www.reagecon.com/thin-layer/chambers/nano-separating-chambers-with-knob-stainless-lid-9020213?returnurl=%2fthin-layer%2fchambers%2f,BS120.213,0.09
9020212,0.93,Nano separating chambers; with knob/ stainless lid; Type Nano separating chamber 100mm x 100mm;  with stainless steel lid,ea,"€ 183,43",https://www.reagecon.com/thin-layer/chambers/nano-separating-chambers-with-knob-stainless-lid-9020212?returnurl=%2fthin-layer%2fchambers%2f,BS120.212,0.93
9020211,0.19,Nano separating chambers; with knob/ stainless lid; Type Nano knob lid; 100mm x 100mm,ea,"€ 61,64",https://www.reagecon.com/thin-layer/chambers/nano-separating-chambers-with-knob-stainless-lid-9020211?returnurl=%2fthin-layer%2fchambers%2f,BS120.211,0.19
9020210,1,Nano separating chambers; with knob/ stainless lid; Type Nano separating chamber 100mm x 100mm;  with knob lid,ea,"€ 205,44",https://www.reagecon.com/thin-layer/chambers/nano-separating-chambers-with-knob-stainless-lid-9020210?returnurl=%2fthin-layer%2fchambers%2f,BS120.210,1
9020174,5.18,Simultaneous batch separating chamber; Type Simultaneous batch separating chamber with ground cover plate,ea,"€ 374,20",https://www.reagecon.com/thin-layer/chambers/simultaneous-batch-separating-chamber-type-9020174?returnurl=%2fthin-layer%2fchambers%2f,BS120.174,5.18
9020177,0.59,Standard separating chamber; Type Glass lid for 9.020 173,ea,"€ 32,29",https://www.reagecon.com/thin-layer/chambers/standard-separating-chamber-type-glass-lid-for-9-9020177?returnurl=%2fthin-layer%2fchambers%2f,BS120.177,0.59
9020167,5.55,Simultaneous batch separating chamber; Type Simultaneous batch separating chamber with knob lid,ea,"€ 410,88",https://www.reagecon.com/thin-layer/chambers/simultaneous-batch-separating-chamber-type-9020167?returnurl=%2fthin-layer%2fchambers%2f,BS120.167,5.55
9020163,0.88,Standard separating chamber; Type Knob lid for 9.020 160,ea,"€ 88,05",https://www.reagecon.com/thin-layer/chambers/standard-separating-chamber-type-knob-lid-for-9-9020163?returnurl=%2fthin-layer%2fchambers%2f,BS120.163,0.88
9020173,5.05,Standard separating chamber; Type Separating chamber with glass lid,ea,"€ 308,16",https://www.reagecon.com/thin-layer/chambers/standard-separating-chamber-type-separating-9020173?returnurl=%2fthin-layer%2fchambers%2f,BS120.173,5.05
9650205,0.50,Booster horns and stepped horns for SONOPULS Ultrasonic homogenisers; titanium alloy; Type Stepped horn SH 70 G; Diam. 13 mm; For HD 2070 / HD 3100,ea,"€ 259,29",https://www.reagecon.com/ultrasonic-homogenisers/booster-horns-and-stepped-horns-for-sonopuls-9650205?returnurl=%2fultrasonic-homogenisers%2f,486,0.50
9020160,5.41,Standard separating chamber; Type Separating chamber with knob lid,ea,"€ 344,85",https://www.reagecon.com/thin-layer/chambers/standard-separating-chamber-type-separating-9020160?returnurl=%2fthin-layer%2fchambers%2f,BS120.160,5.41
9650195,10.48,Ultrasonic homogenizer HD 3400 SONOPULS; Set: consisting of: generator GM 3400; ultrasonic converter UW 3400;,ea,"€ 4.632,38",https://www.reagecon.com/ultrasonic-homogenisers/ultrasonic-homogenizer-hd-3400-sonopuls-set-9650195?returnurl=%2fultrasonic-homogenisers%2f,3690,10.48
9650190,1.07,Ultrasonic homogeniser cup booster BR 30 for SONOPULS HD 2070/ 2200/ 3100/ 3200; Type BR 30,ea,"€ 1.060,91",https://www.reagecon.com/ultrasonic-homogenisers/ultrasonic-homogeniser-cup-booster-br-30-for-9650190?returnurl=%2fultrasonic-homogenisers%2f,7510,1.07
9650166,0.20,Probes for Sonopuls Ultrasonic homogenisers; titanium; Type MS 2.5; For UW mini20; For volume 0.5 - 25 ml; For Sonpuls mini20; Diam. 2.5 mm; Tip microtip,ea,"€ 109,56",https://www.reagecon.com/ultrasonic-homogenisers/probes-for-sonopuls-ultrasonic-homogenisers-9650166?returnurl=%2fultrasonic-homogenisers%2f,3652,0.20
9650165,0.05,Probes for Sonopuls Ultrasonic homogenisers; titanium; Type MS 1.5; For UW mini20; For volume 0.1 - 10 ml; For Sonpuls mini20; Diam. 1.5 mm; Tip microtip,ea,"€ 118,69",https://www.reagecon.com/ultrasonic-homogenisers/probes-for-sonopuls-ultrasonic-homogenisers-9650165?returnurl=%2fultrasonic-homogenisers%2f,3639,0.05
9650160,3.96,Ultrasonic unit SONOPULS mini20 ready to operate set incl. generator GM mini20 ultrasonic converter UW mini20; micro tip MS 2.5,ea,"€ 1.912,35",https://www.reagecon.com/ultrasonic-homogenisers/ultrasonic-unit-sonopuls-mini20-ready-to-operate-9650160?returnurl=%2fultrasonic-homogenisers%2f,3665,3.96
9106610,0.06,Sonotrode for compact ultrasonic processor UP200S; Type S14; Tip dia. 14mm; For volume 50 to 1000ml ml,ea,"€ 278,48",https://www.reagecon.com/ultrasonic-homogenisers/sonotrode-for-compact-ultrasonic-processor-up200s-9106610?returnurl=%2fultrasonic-homogenisers%2f,S14,0.06
9106609,0.03,Sonotrode for compact ultrasonic processor UP200S; Type S7; Tip dia. 7mm; For volume 20 to 500ml ml,ea,"€ 278,48",https://www.reagecon.com/ultrasonic-homogenisers/sonotrode-for-compact-ultrasonic-processor-up200s-9106609?returnurl=%2fultrasonic-homogenisers%2f,S7,0.03
9106608,0.02,Sonotrode for compact ultrasonic processor UP200S; Type S3; Tip dia. 3mm; For volume 5 to 200ml ml,ea,"€ 302,39",https://www.reagecon.com/ultrasonic-homogenisers/sonotrode-for-compact-ultrasonic-processor-up200s-9106608?returnurl=%2fultrasonic-homogenisers%2f,S3,0.02
9106604,0.03,Accessories for Ultrasonic Processor UP50H/UP100H; Type MS7; Tip Ø 7 mm; For volume 10 - 250 ml,ea,"€ 246,21",https://www.reagecon.com/ultrasonic-homogenisers/accessories-for-ultrasonic-processor-up50h-up100h-9106604?returnurl=%2fultrasonic-homogenisers%2f,MS7,0.03
9106600,1.87,Ultrasonic processor UP 50H,ea,"€ 2.392,20",https://www.reagecon.com/ultrasonic-homogenisers/ultrasonic-processor-up-50h-9106600?returnurl=%2fultrasonic-homogenisers%2f,UP50H,1.87
9106607,0.01,Sonotrode for compact ultrasonic processor UP200S; Type S1; Tip dia. 1mm; For volume 0.1 to 5ml ml,ea,"€ 372,90",https://www.reagecon.com/ultrasonic-homogenisers/sonotrode-for-compact-ultrasonic-processor-up200s-9106607?returnurl=%2fultrasonic-homogenisers%2f,S1,0.01
6235330,8.08,Accessories for Ultrasonic Processor UP50H/UP100H; Type SB2; Tip -; For volume - ml,ea,"€ 1.243,01",https://www.reagecon.com/ultrasonic-homogenisers/accessories-for-ultrasonic-processor-up50h-up100h-6235330?returnurl=%2fultrasonic-homogenisers%2f,SB2-16,8.08
